(pack-first o634)
(stack o634 o257)
(stack o257 o879)
(stack o879 o198)
(stack o198 o369)
(stack o369 o624)
(stack o624 o407)
(stack o407 o698)
(stack o698 o265)
(stack o265 o3)
(stack o3 o581)
(stack o581 o597)
(stack o597 o430)
(stack o430 o953)
(stack o953 o540)
(stack o540 o743)
(stack o743 o235)
(stack o235 o985)
(stack o985 o825)
(stack o825 o467)
(stack o467 o526)
(stack o526 o787)
(stack o787 o534)
(stack o534 o285)
(stack o285 o43)
(stack o43 o183)
(stack o183 o854)
(stack o854 o590)
(stack o590 o148)
(stack o148 o801)
(stack o801 o150)
(stack o150 o416)
(stack o416 o281)
(stack o281 o296)
(stack o296 o525)
(stack o525 o733)
(stack o733 o577)
(stack o577 o337)
(stack o337 o88)
(stack o88 o366)
(stack o366 o930)
(stack o930 o841)
(stack o841 o793)
(stack o793 o315)
(stack o315 o779)
(stack o779 o473)
(stack o473 o513)
(stack o513 o313)
(stack o313 o897)
(stack o897 o817)
(stack o817 o591)
(stack o591 o660)
(stack o660 o269)
(stack o269 o679)
(stack o679 o93)
(stack o93 o5)
(stack o5 o675)
(stack o675 o20)
(stack o20 o617)
(stack o617 o829)
(stack o829 o875)
(stack o875 o737)
(stack o737 o427)
(stack o427 o848)
(stack o848 o571)
(stack o571 o202)
(stack o202 o869)
(stack o869 o157)
(stack o157 o341)
(stack o341 o382)
(stack o382 o466)
(stack o466 o44)
(stack o44 o757)
(stack o757 o502)
(stack o502 o836)
(stack o836 o136)
(stack o136 o79)
(stack o79 o899)
(stack o899 o837)
(stack o837 o226)
(stack o226 o471)
(stack o471 o78)
(stack o78 o601)
(stack o601 o704)
(stack o704 o21)
(stack o21 o913)
(stack o913 o873)
(stack o873 o168)
(stack o168 o707)
(stack o707 o712)
(stack o712 o915)
(stack o915 o80)
(stack o80 o381)
(stack o381 o494)
(stack o494 o992)
(stack o992 o90)
(stack o90 o208)
(stack o208 o163)
(stack o163 o716)
(stack o716 o277)
(stack o277 o489)
(stack o489 o4)
(stack o4 o630)
(stack o630 o332)
(stack o332 o700)
(stack o700 o463)
(stack o463 o917)
(stack o917 o194)
(stack o194 o936)
; cost = 109 (unit cost)
