(action_1 o299)
(action_2 o299 o130)
(action_2 o130 o121)
(action_2 o121 o119)
(action_2 o119 o654)
(action_2 o654 o189)
(action_2 o189 o29)
(action_2 o29 o14)
(action_2 o14 o609)
(action_2 o609 o355)
(action_2 o355 o814)
(action_2 o814 o989)
(action_2 o989 o533)
(action_2 o533 o432)
(action_2 o432 o965)
(action_2 o965 o104)
(action_2 o104 o770)
(action_2 o770 o670)
(action_2 o670 o118)
(action_2 o118 o360)
(action_2 o360 o837)
(action_2 o837 o414)
(action_2 o414 o31)
(action_2 o31 o676)
(action_2 o676 o944)
(action_2 o944 o400)
(action_2 o400 o46)
(action_2 o46 o869)
(action_2 o869 o10)
(action_2 o10 o891)
(action_2 o891 o983)
(action_2 o983 o936)
(action_2 o936 o901)
(action_2 o901 o383)
(action_2 o383 o364)
(action_2 o364 o642)
(action_2 o642 o845)
(action_2 o845 o410)
(action_2 o410 o484)
(action_2 o484 o409)
(action_2 o409 o583)
(action_2 o583 o866)
(action_2 o866 o802)
(action_2 o802 o677)
(action_2 o677 o174)
(action_2 o174 o128)
(action_2 o128 o448)
(action_2 o448 o494)
(action_2 o494 o738)
(action_2 o738 o231)
(action_2 o231 o570)
(action_2 o570 o293)
(action_2 o293 o59)
(action_2 o59 o382)
(action_2 o382 o206)
(action_2 o206 o165)
(action_2 o165 o887)
(action_2 o887 o544)
(action_2 o544 o199)
(action_2 o199 o571)
(action_2 o571 o934)
(action_2 o934 o185)
(action_2 o185 o872)
(action_2 o872 o717)
(action_2 o717 o665)
(action_2 o665 o181)
(action_2 o181 o995)
(action_2 o995 o991)
(action_2 o991 o1000)
(action_2 o1000 o773)
(action_2 o773 o731)
(action_2 o731 o733)
(action_2 o733 o594)
(action_2 o594 o245)
(action_2 o245 o21)
(action_2 o21 o447)
(action_2 o447 o548)
(action_2 o548 o805)
(action_2 o805 o956)
(action_2 o956 o771)
(action_2 o771 o843)
(action_2 o843 o695)
(action_2 o695 o651)
(action_2 o651 o949)
(action_2 o949 o306)
(action_2 o306 o320)
(action_2 o320 o210)
(action_2 o210 o391)
(action_2 o391 o930)
(action_2 o930 o842)
(action_2 o842 o497)
(action_2 o497 o361)
(action_2 o361 o246)
(action_2 o246 o426)
(action_2 o426 o606)
(action_2 o606 o71)
(action_2 o71 o463)
(action_2 o463 o962)
(action_2 o962 o93)
(action_2 o93 o808)
(action_2 o808 o826)
(action_2 o826 o26)
(action_2 o26 o79)
(action_2 o79 o6)
(action_2 o6 o592)
(action_2 o592 o749)
(action_2 o749 o252)
(action_2 o252 o389)
(action_2 o389 o742)
(action_2 o742 o155)
(action_2 o155 o895)
(action_2 o895 o91)
(action_2 o91 o515)
(action_2 o515 o782)
(action_2 o782 o125)
(action_2 o125 o439)
(action_2 o439 o542)
(action_2 o542 o249)
(action_2 o249 o598)
(action_2 o598 o66)
(action_2 o66 o875)
(action_2 o875 o325)
(action_2 o325 o162)
(action_2 o162 o652)
(action_2 o652 o990)
(action_2 o990 o673)
(action_2 o673 o610)
(action_2 o610 o323)
(action_2 o323 o425)
(action_2 o425 o385)
(action_2 o385 o123)
(action_2 o123 o72)
(action_2 o72 o506)
(action_2 o506 o698)
(action_2 o698 o107)
(action_2 o107 o129)
(action_2 o129 o637)
(action_2 o637 o537)
(action_2 o537 o848)
(action_2 o848 o207)
(action_2 o207 o22)
(action_2 o22 o406)
(action_2 o406 o795)
(action_2 o795 o585)
(action_2 o585 o477)
(action_2 o477 o457)
(action_2 o457 o753)
(action_2 o753 o767)
(action_2 o767 o61)
(action_2 o61 o244)
(action_2 o244 o205)
(action_2 o205 o8)
(action_2 o8 o778)
(action_2 o778 o974)
(action_2 o974 o952)
(action_2 o952 o885)
(action_2 o885 o273)
(action_2 o273 o827)
(action_2 o827 o968)
(action_2 o968 o316)
(action_2 o316 o490)
(action_2 o490 o766)
(action_2 o766 o859)
(action_2 o859 o777)
(action_2 o777 o879)
(action_2 o879 o987)
(action_2 o987 o829)
(action_2 o829 o386)
(action_2 o386 o623)
(action_2 o623 o704)
(action_2 o704 o951)
(action_2 o951 o251)
(action_2 o251 o375)
(action_2 o375 o95)
(action_2 o95 o434)
(action_2 o434 o144)
(action_2 o144 o468)
(action_2 o468 o856)
(action_2 o856 o214)
(action_2 o214 o38)
(action_2 o38 o538)
(action_2 o538 o70)
(action_2 o70 o258)
(action_2 o258 o630)
(action_2 o630 o462)
(action_2 o462 o577)
(action_2 o577 o914)
(action_2 o914 o683)
(action_2 o683 o311)
(action_2 o311 o81)
(action_2 o81 o812)
(action_2 o812 o338)
(action_2 o338 o835)
; cost = 193 (unit cost)
